# primary-region.bin: 4113 of 7562 frames fail the frame CRC
frame	start	end	stored_crc	computed_crc	dummy
6514	0x07A8C4	0x07A910	0xFFFF	0xAA2B	0xFF
6515	0x07A911	0x07A95D	0xFFFF	0xAA2B	0xFF
6516	0x07A95E	0x07A9AA	0xFFFF	0xAA2B	0xFF
6517	0x07A9AB	0x07A9F7	0xFFFF	0xAA2B	0xFF
6518	0x07A9F8	0x07AA44	0xFFFF	0xAA2B	0xFF
6519	0x07AA45	0x07AA91	0xFFFF	0xAA2B	0xFF
6520	0x07AA92	0x07AADE	0xFFFF	0xAA2B	0xFF
6521	0x07AADF	0x07AB2B	0xFFFF	0xAA2B	0xFF
6522	0x07AB2C	0x07AB78	0xFFFF	0xAA2B	0xFF
6523	0x07AB79	0x07ABC5	0xFFFF	0xAA2B	0xFF
6524	0x07ABC6	0x07AC12	0xFFFF	0xAA2B	0xFF
6525	0x07AC13	0x07AC5F	0xFFFF	0xAA2B	0xFF
6526	0x07AC60	0x07ACAC	0xFFFF	0xAA2B	0xFF
6527	0x07ACAD	0x07ACF9	0xFFFF	0xAA2B	0xFF
6528	0x07ACFA	0x07AD46	0xFFFF	0xAA2B	0xFF
6529	0x07AD47	0x07AD93	0xFFFF	0xAA2B	0xFF
6530	0x07AD94	0x07ADE0	0xFFFF	0xAA2B	0xFF
6531	0x07ADE1	0x07AE2D	0xFFFF	0xAA2B	0xFF
6532	0x07AE2E	0x07AE7A	0xFFFF	0xAA2B	0xFF
6533	0x07AE7B	0x07AEC7	0xFFFF	0xAA2B	0xFF
6534	0x07AEC8	0x07AF14	0xFFFF	0xAA2B	0xFF
6535	0x07AF15	0x07AF61	0xFFFF	0xAA2B	0xFF
6536	0x07AF62	0x07AFAE	0xFFFF	0xAA2B	0xFF
6537	0x07AFAF	0x07AFFB	0xFFFF	0xAA2B	0xFF
6538	0x07AFFC	0x07B048	0xFFFF	0xAA2B	0xFF
6539	0x07B049	0x07B095	0xFFFF	0xAA2B	0xFF
6540	0x07B096	0x07B0E2	0xFFFF	0xAA2B	0xFF
6541	0x07B0E3	0x07B12F	0xFFFF	0xAA2B	0xFF
6542	0x07B130	0x07B17C	0xFFFF	0xAA2B	0xFF
6543	0x07B17D	0x07B1C9	0xFFFF	0xAA2B	0xFF
6544	0x07B1CA	0x07B216	0xFFFF	0xAA2B	0xFF
6545	0x07B217	0x07B263	0xFFFF	0xAA2B	0xFF
6546	0x07B264	0x07B2B0	0xFFFF	0xAA2B	0xFF
6547	0x07B2B1	0x07B2FD	0xFFFF	0xAA2B	0xFF
6548	0x07B2FE	0x07B34A	0xFFFF	0xAA2B	0xFF
6549	0x07B34B	0x07B397	0xFFFF	0xAA2B	0xFF
6550	0x07B398	0x07B3E4	0xFFFF	0xAA2B	0xFF
6551	0x07B3E5	0x07B431	0xFFFF	0xAA2B	0xFF
6552	0x07B432	0x07B47E	0xFFFF	0xAA2B	0xFF
6553	0x07B47F	0x07B4CB	0xFFFF	0xAA2B	0xFF
6554	0x07B4CC	0x07B518	0xFFFF	0xAA2B	0xFF
6555	0x07B519	0x07B565	0xFFFF	0xAA2B	0xFF
6556	0x07B566	0x07B5B2	0xFFFF	0xAA2B	0xFF
6557	0x07B5B3	0x07B5FF	0xFFFF	0xAA2B	0xFF
6558	0x07B600	0x07B64C	0xFFFF	0xAA2B	0xFF
6559	0x07B64D	0x07B699	0xFFFF	0xAA2B	0xFF
6560	0x07B69A	0x07B6E6	0xFFFF	0xAA2B	0xFF
6561	0x07B6E7	0x07B733	0xFFFF	0xAA2B	0xFF
6562	0x07B734	0x07B780	0xFFFF	0xAA2B	0xFF
6563	0x07B781	0x07B7CD	0xFFFF	0xAA2B	0xFF
6564	0x07B7CE	0x07B81A	0xFFFF	0xAA2B	0xFF
6565	0x07B81B	0x07B867	0xFFFF	0xAA2B	0xFF
6566	0x07B868	0x07B8B4	0xFFFF	0xAA2B	0xFF
6567	0x07B8B5	0x07B901	0xFFFF	0xAA2B	0xFF
6568	0x07B902	0x07B94E	0xFFFF	0xAA2B	0xFF
6569	0x07B94F	0x07B99B	0xFFFF	0xAA2B	0xFF
6570	0x07B99C	0x07B9E8	0xFFFF	0xAA2B	0xFF
6571	0x07B9E9	0x07BA35	0xFFFF	0xAA2B	0xFF
6572	0x07BA36	0x07BA82	0xFFFF	0xAA2B	0xFF
6573	0x07BA83	0x07BACF	0xFFFF	0xAA2B	0xFF
6574	0x07BAD0	0x07BB1C	0xFFFF	0xAA2B	0xFF
6575	0x07BB1D	0x07BB69	0xFFFF	0xAA2B	0xFF
6576	0x07BB6A	0x07BBB6	0xFFFF	0xAA2B	0xFF
6577	0x07BBB7	0x07BC03	0xFFFF	0xAA2B	0xFF
6578	0x07BC04	0x07BC50	0xFFFF	0xAA2B	0xFF
6579	0x07BC51	0x07BC9D	0xFFFF	0xAA2B	0xFF
6580	0x07BC9E	0x07BCEA	0xFFFF	0xAA2B	0xFF
6581	0x07BCEB	0x07BD37	0xFFFF	0xAA2B	0xFF
6582	0x07BD38	0x07BD84	0xFFFF	0xAA2B	0xFF
6583	0x07BD85	0x07BDD1	0xFFFF	0xAA2B	0xFF
6584	0x07BDD2	0x07BE1E	0xFFFF	0xAA2B	0xFF
6585	0x07BE1F	0x07BE6B	0xFFFF	0xAA2B	0xFF
6586	0x07BE6C	0x07BEB8	0xFFFF	0xAA2B	0xFF
6587	0x07BEB9	0x07BF05	0xFFFF	0xAA2B	0xFF
6588	0x07BF06	0x07BF52	0xFFFF	0xAA2B	0xFF
6589	0x07BF53	0x07BF9F	0xFFFF	0xAA2B	0xFF
6590	0x07BFA0	0x07BFEC	0xFFFF	0xAA2B	0xFF
6591	0x07BFED	0x07C039	0xFFFF	0xAA2B	0xFF
6592	0x07C03A	0x07C086	0xFFFF	0xAA2B	0xFF
6593	0x07C087	0x07C0D3	0xFFFF	0xAA2B	0xFF
6594	0x07C0D4	0x07C120	0xFFFF	0xAA2B	0xFF
6595	0x07C121	0x07C16D	0xFFFF	0xAA2B	0xFF
6596	0x07C16E	0x07C1BA	0xFFFF	0xAA2B	0xFF
6597	0x07C1BB	0x07C207	0xFFFF	0xAA2B	0xFF
6598	0x07C208	0x07C254	0xFFFF	0xAA2B	0xFF
6599	0x07C255	0x07C2A1	0xFFFF	0xAA2B	0xFF
6600	0x07C2A2	0x07C2EE	0xFFFF	0xAA2B	0xFF
6601	0x07C2EF	0x07C33B	0xFFFF	0xAA2B	0xFF
6602	0x07C33C	0x07C388	0xFFFF	0xAA2B	0xFF
6603	0x07C389	0x07C3D5	0xFFFF	0xAA2B	0xFF
6604	0x07C3D6	0x07C422	0xFFFF	0xAA2B	0xFF
6605	0x07C423	0x07C46F	0xFFFF	0xAA2B	0xFF
6606	0x07C470	0x07C4BC	0xFFFF	0xAA2B	0xFF
6607	0x07C4BD	0x07C509	0xFFFF	0xAA2B	0xFF
6608	0x07C50A	0x07C556	0xFFFF	0xAA2B	0xFF
6609	0x07C557	0x07C5A3	0xFFFF	0xAA2B	0xFF
6610	0x07C5A4	0x07C5F0	0xFFFF	0xAA2B	0xFF
6611	0x07C5F1	0x07C63D	0xFFFF	0xAA2B	0xFF
6612	0x07C63E	0x07C68A	0xFFFF	0xAA2B	0xFF
6613	0x07C68B	0x07C6D7	0xFFFF	0xAA2B	0xFF
6614	0x07C6D8	0x07C724	0xFFFF	0xAA2B	0xFF
6615	0x07C725	0x07C771	0xFFFF	0xAA2B	0xFF
6616	0x07C772	0x07C7BE	0xFFFF	0xAA2B	0xFF
6617	0x07C7BF	0x07C80B	0xFFFF	0xAA2B	0xFF
6618	0x07C80C	0x07C858	0xFFFF	0xAA2B	0xFF
6619	0x07C859	0x07C8A5	0xFFFF	0xAA2B	0xFF
6620	0x07C8A6	0x07C8F2	0xFFFF	0xAA2B	0xFF
6621	0x07C8F3	0x07C93F	0xFFFF	0xAA2B	0xFF
6622	0x07C940	0x07C98C	0xFFFF	0xAA2B	0xFF
6623	0x07C98D	0x07C9D9	0xFFFF	0xAA2B	0xFF
6624	0x07C9DA	0x07CA26	0xFFFF	0xAA2B	0xFF
6625	0x07CA27	0x07CA73	0xFFFF	0xAA2B	0xFF
6626	0x07CA74	0x07CAC0	0xFFFF	0xAA2B	0xFF
6627	0x07CAC1	0x07CB0D	0xFFFF	0xAA2B	0xFF
6628	0x07CB0E	0x07CB5A	0xFFFF	0xAA2B	0xFF
6629	0x07CB5B	0x07CBA7	0xFFFF	0xAA2B	0xFF
6630	0x07CBA8	0x07CBF4	0xFFFF	0xAA2B	0xFF
6631	0x07CBF5	0x07CC41	0xFFFF	0xAA2B	0xFF
6632	0x07CC42	0x07CC8E	0xFFFF	0xAA2B	0xFF
6633	0x07CC8F	0x07CCDB	0xFFFF	0xAA2B	0xFF
6634	0x07CCDC	0x07CD28	0xFFFF	0xAA2B	0xFF
6635	0x07CD29	0x07CD75	0xFFFF	0xAA2B	0xFF
6636	0x07CD76	0x07CDC2	0xFFFF	0xAA2B	0xFF
6637	0x07CDC3	0x07CE0F	0xFFFF	0xAA2B	0xFF
6638	0x07CE10	0x07CE5C	0xFFFF	0xAA2B	0xFF
6639	0x07CE5D	0x07CEA9	0xFFFF	0xAA2B	0xFF
6640	0x07CEAA	0x07CEF6	0xFFFF	0xAA2B	0xFF
6641	0x07CEF7	0x07CF43	0xFFFF	0xAA2B	0xFF
6642	0x07CF44	0x07CF90	0xFFFF	0xAA2B	0xFF
6643	0x07CF91	0x07CFDD	0xFFFF	0xAA2B	0xFF
6644	0x07CFDE	0x07D02A	0xFFFF	0xAA2B	0xFF
6645	0x07D02B	0x07D077	0xFFFF	0xAA2B	0xFF
6646	0x07D078	0x07D0C4	0xFFFF	0xAA2B	0xFF
6647	0x07D0C5	0x07D111	0xFFFF	0xAA2B	0xFF
6648	0x07D112	0x07D15E	0xFFFF	0xAA2B	0xFF
6649	0x07D15F	0x07D1AB	0xFFFF	0xAA2B	0xFF
6650	0x07D1AC	0x07D1F8	0xFFFF	0xAA2B	0xFF
6651	0x07D1F9	0x07D245	0xFFFF	0xAA2B	0xFF
6652	0x07D246	0x07D292	0xFFFF	0xAA2B	0xFF
6653	0x07D293	0x07D2DF	0xFFFF	0xAA2B	0xFF
6654	0x07D2E0	0x07D32C	0xFFFF	0xAA2B	0xFF
6655	0x07D32D	0x07D379	0xFFFF	0xAA2B	0xFF
6656	0x07D37A	0x07D3C6	0xFFFF	0xAA2B	0xFF
6657	0x07D3C7	0x07D413	0xFFFF	0xAA2B	0xFF
6658	0x07D414	0x07D460	0xFFFF	0xAA2B	0xFF
6659	0x07D461	0x07D4AD	0xFFFF	0xAA2B	0xFF
6660	0x07D4AE	0x07D4FA	0xFFFF	0xAA2B	0xFF
6661	0x07D4FB	0x07D547	0xFFFF	0xAA2B	0xFF
6662	0x07D548	0x07D594	0xFFFF	0xAA2B	0xFF
6663	0x07D595	0x07D5E1	0xFFFF	0xAA2B	0xFF
6664	0x07D5E2	0x07D62E	0xFFFF	0xAA2B	0xFF
6665	0x07D62F	0x07D67B	0xFFFF	0xAA2B	0xFF
6666	0x07D67C	0x07D6C8	0xFFFF	0xAA2B	0xFF
6667	0x07D6C9	0x07D715	0xFFFF	0xAA2B	0xFF
6668	0x07D716	0x07D762	0xFFFF	0xAA2B	0xFF
6669	0x07D763	0x07D7AF	0xFFFF	0xAA2B	0xFF
6670	0x07D7B0	0x07D7FC	0xFFFF	0xAA2B	0xFF
6671	0x07D7FD	0x07D849	0xFFFF	0xAA2B	0xFF
6672	0x07D84A	0x07D896	0xFFFF	0xAA2B	0xFF
6673	0x07D897	0x07D8E3	0xFFFF	0xAA2B	0xFF
6674	0x07D8E4	0x07D930	0xFFFF	0xAA2B	0xFF
6675	0x07D931	0x07D97D	0xFFFF	0xAA2B	0xFF
6676	0x07D97E	0x07D9CA	0xFFFF	0xAA2B	0xFF
6677	0x07D9CB	0x07DA17	0xFFFF	0xAA2B	0xFF
6678	0x07DA18	0x07DA64	0xFFFF	0xAA2B	0xFF
6679	0x07DA65	0x07DAB1	0xFFFF	0xAA2B	0xFF
6680	0x07DAB2	0x07DAFE	0xFFFF	0xAA2B	0xFF
6681	0x07DAFF	0x07DB4B	0xFFFF	0xAA2B	0xFF
6682	0x07DB4C	0x07DB98	0xFFFF	0xAA2B	0xFF
6683	0x07DB99	0x07DBE5	0xFFFF	0xAA2B	0xFF
6684	0x07DBE6	0x07DC32	0xFFFF	0xAA2B	0xFF
6685	0x07DC33	0x07DC7F	0xFFFF	0xAA2B	0xFF
6686	0x07DC80	0x07DCCC	0xFFFF	0xAA2B	0xFF
6687	0x07DCCD	0x07DD19	0xFFFF	0xAA2B	0xFF
6688	0x07DD1A	0x07DD66	0xFFFF	0xAA2B	0xFF
6689	0x07DD67	0x07DDB3	0xFFFF	0xAA2B	0xFF
6690	0x07DDB4	0x07DE00	0xFFFF	0xAA2B	0xFF
6691	0x07DE01	0x07DE4D	0xFFFF	0xAA2B	0xFF
6692	0x07DE4E	0x07DE9A	0xFFFF	0xAA2B	0xFF
6693	0x07DE9B	0x07DEE7	0xFFFF	0xAA2B	0xFF
6694	0x07DEE8	0x07DF34	0xFFFF	0xAA2B	0xFF
6695	0x07DF35	0x07DF81	0xFFFF	0xAA2B	0xFF
6696	0x07DF82	0x07DFCE	0xFFFF	0xAA2B	0xFF
6697	0x07DFCF	0x07E01B	0xFFFF	0xAA2B	0xFF
6698	0x07E01C	0x07E068	0xFFFF	0xAA2B	0xFF
6699	0x07E069	0x07E0B5	0xFFFF	0xAA2B	0xFF
6700	0x07E0B6	0x07E102	0xFFFF	0xAA2B	0xFF
6701	0x07E103	0x07E14F	0xFFFF	0xAA2B	0xFF
6702	0x07E150	0x07E19C	0xFFFF	0xAA2B	0xFF
6703	0x07E19D	0x07E1E9	0xFFFF	0xAA2B	0xFF
6704	0x07E1EA	0x07E236	0xFFFF	0xAA2B	0xFF
6705	0x07E237	0x07E283	0xFFFF	0xAA2B	0xFF
6706	0x07E284	0x07E2D0	0xFFFF	0xAA2B	0xFF
6707	0x07E2D1	0x07E31D	0xFFFF	0xAA2B	0xFF
6708	0x07E31E	0x07E36A	0xFFFF	0xAA2B	0xFF
6709	0x07E36B	0x07E3B7	0xFFFF	0xAA2B	0xFF
6710	0x07E3B8	0x07E404	0xFFFF	0xAA2B	0xFF
6711	0x07E405	0x07E451	0xFFFF	0xAA2B	0xFF
6712	0x07E452	0x07E49E	0xFFFF	0xAA2B	0xFF
6713	0x07E49F	0x07E4EB	0xFFFF	0xAA2B	0xFF
6714	0x07E4EC	0x07E538	0xFFFF	0xAA2B	0xFF
6715	0x07E539	0x07E585	0xFFFF	0xAA2B	0xFF
6716	0x07E586	0x07E5D2	0xFFFF	0xAA2B	0xFF
6717	0x07E5D3	0x07E61F	0xFFFF	0xAA2B	0xFF
6718	0x07E620	0x07E66C	0xFFFF	0xAA2B	0xFF
6719	0x07E66D	0x07E6B9	0xFFFF	0xAA2B	0xFF
6720	0x07E6BA	0x07E706	0xFFFF	0xAA2B	0xFF
6721	0x07E707	0x07E753	0xFFFF	0xAA2B	0xFF
6722	0x07E754	0x07E7A0	0xFFFF	0xAA2B	0xFF
6723	0x07E7A1	0x07E7ED	0xFFFF	0xAA2B	0xFF
6724	0x07E7EE	0x07E83A	0xFFFF	0xAA2B	0xFF
6725	0x07E83B	0x07E887	0xFFFF	0xAA2B	0xFF
6726	0x07E888	0x07E8D4	0xFFFF	0xAA2B	0xFF
6727	0x07E8D5	0x07E921	0xFFFF	0xAA2B	0xFF
6728	0x07E922	0x07E96E	0xFFFF	0xAA2B	0xFF
6729	0x07E96F	0x07E9BB	0xFFFF	0xAA2B	0xFF
6730	0x07E9BC	0x07EA08	0xFFFF	0xAA2B	0xFF
6731	0x07EA09	0x07EA55	0xFFFF	0xAA2B	0xFF
6732	0x07EA56	0x07EAA2	0xFFFF	0xAA2B	0xFF
6733	0x07EAA3	0x07EAEF	0xFFFF	0xAA2B	0xFF
6734	0x07EAF0	0x07EB3C	0xFFFF	0xAA2B	0xFF
6735	0x07EB3D	0x07EB89	0xFFFF	0xAA2B	0xFF
6736	0x07EB8A	0x07EBD6	0xFFFF	0xAA2B	0xFF
6737	0x07EBD7	0x07EC23	0xFFFF	0xAA2B	0xFF
6738	0x07EC24	0x07EC70	0xFFFF	0xAA2B	0xFF
6739	0x07EC71	0x07ECBD	0xFFFF	0xAA2B	0xFF
6740	0x07ECBE	0x07ED0A	0xFFFF	0xAA2B	0xFF
6741	0x07ED0B	0x07ED57	0xFFFF	0xAA2B	0xFF
6742	0x07ED58	0x07EDA4	0xFFFF	0xAA2B	0xFF
6743	0x07EDA5	0x07EDF1	0xFFFF	0xAA2B	0xFF
6744	0x07EDF2	0x07EE3E	0xFFFF	0xAA2B	0xFF
6745	0x07EE3F	0x07EE8B	0xFFFF	0xAA2B	0xFF
6746	0x07EE8C	0x07EED8	0xFFFF	0xAA2B	0xFF
6747	0x07EED9	0x07EF25	0xFFFF	0xAA2B	0xFF
6748	0x07EF26	0x07EF72	0xFFFF	0xAA2B	0xFF
6749	0x07EF73	0x07EFBF	0xFFFF	0xAA2B	0xFF
6750	0x07EFC0	0x07F00C	0x0000	0x2D6A	0x00
6751	0x07F00D	0x07F059	0x0000	0x7AF2	0x00
6752	0x07F05A	0x07F0A6	0x0000	0x1A55	0x00
6753	0x07F0A7	0x07F0F3	0x8080	0x8D28	0x80
6754	0x07F0F4	0x07F140	0xFFFF	0x0D68	0xFF
6755	0x07F141	0x07F18D	0xFFFF	0xAA2B	0xFF
6756	0x07F18E	0x07F1DA	0xFFFF	0xAA2B	0xFF
6757	0x07F1DB	0x07F227	0xFFFF	0xAA2B	0xFF
6758	0x07F228	0x07F274	0xFFFF	0xAA2B	0xFF
6759	0x07F275	0x07F2C1	0xFFFF	0xAA2B	0xFF
6760	0x07F2C2	0x07F30E	0xFFFF	0xAA2B	0xFF
6761	0x07F30F	0x07F35B	0xFFFF	0xAA2B	0xFF
6762	0x07F35C	0x07F3A8	0xFFFF	0xAA2B	0xFF
6763	0x07F3A9	0x07F3F5	0xFFFF	0xAA2B	0xFF
6764	0x07F3F6	0x07F442	0xFFFF	0xAA2B	0xFF
6765	0x07F443	0x07F48F	0xFFFF	0xAA2B	0xFF
6766	0x07F490	0x07F4DC	0xFFFF	0xAA2B	0xFF
6767	0x07F4DD	0x07F529	0xFFFF	0xAA2B	0xFF
6768	0x07F52A	0x07F576	0xFFFF	0xAA2B	0xFF
6769	0x07F577	0x07F5C3	0xFFFF	0xAA2B	0xFF
6770	0x07F5C4	0x07F610	0xFFFF	0xAA2B	0xFF
6771	0x07F611	0x07F65D	0xFFFF	0xAA2B	0xFF
6772	0x07F65E	0x07F6AA	0xFFFF	0xAA2B	0xFF
6773	0x07F6AB	0x07F6F7	0xFFFF	0xAA2B	0xFF
6774	0x07F6F8	0x07F744	0xFFFF	0xAA2B	0xFF
6775	0x07F745	0x07F791	0xFFFF	0xAA2B	0xFF
6776	0x07F792	0x07F7DE	0xFFFF	0xAA2B	0xFF
6777	0x07F7DF	0x07F82B	0xFFFF	0xAA2B	0xFF
6778	0x07F82C	0x07F878	0xFFFF	0xAA2B	0xFF
6779	0x07F879	0x07F8C5	0xFFFF	0xAA2B	0xFF
6780	0x07F8C6	0x07F912	0xFFFF	0xAA2B	0xFF
6781	0x07F913	0x07F95F	0xFFFF	0xAA2B	0xFF
6782	0x07F960	0x07F9AC	0xFFFF	0xAA2B	0xFF
6783	0x07F9AD	0x07F9F9	0xFFFF	0xAA2B	0xFF
6784	0x07F9FA	0x07FA46	0xFFFF	0xAA2B	0xFF
6785	0x07FA47	0x07FA93	0xFFFF	0xAA2B	0xFF
6786	0x07FA94	0x07FAE0	0xFFFF	0xAA2B	0xFF
6787	0x07FAE1	0x07FB2D	0xFFFF	0xAA2B	0xFF
6788	0x07FB2E	0x07FB7A	0xFFFF	0xAA2B	0xFF
6789	0x07FB7B	0x07FBC7	0xFFFF	0xAA2B	0xFF
6790	0x07FBC8	0x07FC14	0xFFFF	0xAA2B	0xFF
6791	0x07FC15	0x07FC61	0xFFFF	0xAA2B	0xFF
