PIN	BANK	ROW	COL	PIO	TILE	FUNC	DQS	BASETYPE	DRIVE	PULL	SLEW	HYST	CLAMP	ODRAIN	IOLMODE	IOLCFG	OUT	ODDR1	TRI	IN	RX0	RX1	CLKROOT	OROOT	TROOT
A10	1	0	42	B	PIOT0			-									0	0	0	1	0	0			
A11	1	0	53	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0000@53,1	V02S0701@53,1	V02S0301@53,1
A12	1	0	53	B	PIOT0			-									0	0	0	1	0	0			
A13	1	0	65	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0000@65,1	F4@36,14	V02S0101@65,1
A14	1	0	65	B	PIOT0			-									1	0	1	0	0	0	G_HPBX0000@66,1	F6@43,15	Q0_SLICE@38,6
A15	1	0	67	B	PIOT0			-									0	0	0	0	0	0			
A2	0	0	4	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0000@4,1	F6@25,15	JQ4@1,2
A3	0	0	6	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0000@6,1	F7@26,9	JQ4@1,2
A4	0	0	6	B	PIOT0			-									1	0	1	0	0	0	G_HPBX0000@7,1	V02S0501@7,1	JQ4@1,2
A5	0	0	18	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0000@18,1	V02S0701@18,1	Q0_SLICE@38,6
A6	0	0	18	B	PIOT0			-									1	0	0	0	0	0	G_HPBX0000@19,1	F1@31,4	
A7	0	0	29	A	PIOT0	PCLKT0_0		-					OFF				0	0	0	0	0	0			
A8	0	0	29	B	PIOT0	PCLKC0_0		-									1	0	0	0	0	0	G_HPBX0000@30,1	V02S0701@30,1	
A9	1	0	42	A	PIOT0			OUTPUT_LVTTL33	8	NONE	FAST		ON	OFF			1	0	0	0	0	0	G_HPBX0000@42,1	F7@37,4	
B1	7	2	0	A	PICL0		LDQ8	OUTPUT_SSTL18_II							IREG_OREG	CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0000@1,2	H02E0501@1,2	
B10	1	0	44	A	PIOT0			OUTPUT_LVTTL33	8	NONE	FAST		ON	OFF			1	0	0	0	0	0	G_HPBX0000@44,1	F2@36,5	
B11	1	0	49	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0000@49,1	F2@32,17	Q0_SLICE@38,6
B12	1	0	56	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0000@56,1	V02S0701@56,1	V02S0301@56,1
B13	1	0	60	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0000@60,1	V02S0501@60,1	Q0_SLICE@38,6
B14	1	0	67	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0000@67,1	F0@36,14	Q0_SLICE@38,6
B15	2	2	72	B	PICR0	S0_IN	RDQ8	OUTPUT_SSTL18_II							IREG_OREG	CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0000@71,2	H02W0401@71,2	
B16	2	2	72	A	PICR0		RDQ8	OUTPUT_SSTL18_II							IREG_OREG	CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0000@71,2	H02W0701@71,2	
B2	7	2	0	B	PICL0		LDQ8	OUTPUT_SSTL18_II							IDDRXN	CEIMUX=1;CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED	1	0	1	0	0	0	G_HPBX0000@1,2	F0@34,18	H02E0101@1,2
B3	0	0	4	B	PIOT0			-									1	0	1	0	0	0	G_HPBX0000@5,1	JQ4@1,2	JQ4@1,2
B4	0	0	11	B	PIOT0			-									1	0	1	0	0	0	G_HPBX0000@12,1	F2@28,10	Q0_SLICE@38,6
B5	0	0	15	B	PIOT0			-									1	0	0	0	0	0	G_HPBX0000@16,1	F3@31,4	
B6	0	0	22	B	PIOT0			-									1	0	0	0	0	0	G_HPBX0000@23,1	F3@33,3	
B7	0	0	27	B	PIOT0	PCLKC0_1		-									1	0	0	0	0	0	G_HPBX0000@28,1	JQ4@1,2	
B8	1	0	35	B	PIOT0	PCLKC1_0		-									1	0	0	0	0	0	G_HPBX0000@36,1	F1@34,3	
B9	1	0	38	A	PIOT0	GR_PCLK1_0		OUTPUT_LVTTL33	8	NONE	FAST		ON	OFF			1	0	0	0	0	0	G_HPBX0000@38,1	F6@36,4	
C1	7	5	0	A	PICL0		LDQ8	OUTPUT_SSTL18_II							IREG_OREG	CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0000@1,5	Q4_SLICE@58,12	
C10	1	0	44	B	PIOT0			-									1	0	0	0	0	0	G_HPBX0000@45,1	F3@35,5	
C11	1	0	49	B	PIOT0			-									1	0	1	0	0	0	G_HPBX0000@50,1	V02S0501@50,1	Q0_SLICE@38,6
C12	1	0	56	B	PIOT0			-									1	0	1	0	0	0	G_HPBX0000@57,1	V02S0001@57,1	V02S0301@56,1
C13	1	0	60	B	PIOT0			-									1	0	1	0	0	0	G_HPBX0000@61,1	V02S0101@61,1	Q0_SLICE@38,6
C14	2	2	72	C	PICR0		RDQ8	-									1	0	0	0	0	0	G_HPBX0000@71,4	H02W0701@71,4	
C15	2	5	72	B	PICR0		RDQ8	OUTPUT_SSTL18_II							IREG_OREG	CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0000@71,5	Q6_SLICE@70,17	
C16	2	5	72	A	PICR0		RDQ8	OUTPUT_SSTL18_II							IREG_OREG	CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0000@71,5	Q0_SLICE@70,17	
C2	7	5	0	B	PICL0		LDQ8	OUTPUT_SSTL18_II							IREG_OREG	CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0000@1,5	Q0_SLICE@28,10	
C3	7	2	0	C	PICL0		LDQ8	-									1	0	1	0	0	0	G_HPBX0000@1,4	F4@26,9	H02E0101@1,2
C4	0	0	11	A	PIOT0			OUTPUT_SSTL15_II	4	NONE			ON				1	0	0	0	0	0	G_HPBX0000@11,1	Q6_SLICE@9,14	
C5	0	0	15	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0000@15,1	F0@27,11	Q0_SLICE@38,6
C6	0	0	22	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0000@22,1	V02S0501@22,1	Q0_SLICE@38,6
C7	0	0	27	A	PIOT0	PCLKT0_1		OUTPUT_LVTTL33	8	NONE	FAST		ON	OFF			1	0	0	0	0	0	G_HPBX0000@27,1	JQ4@1,2	
C8	1	0	35	A	PIOT0	PCLKT1_0		OUTPUT_LVTTL33	8	NONE	FAST		ON	OFF			1	0	0	0	0	0		G_HPBX0100@35,1	
C9	1	0	38	B	PIOT0	GR_PCLK1_1		-									1	0	0	0	0	0	G_HPBX0000@39,1	F3@38,3	
D1	7	8	0	A	PICL0_DQS2		LDQS8	OUTPUT_SSTL18_II							IREG_OREG	CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0000@1,8	H06E0303@0,8	
D10	1	0	47	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0000@47,1	V02S0101@47,1	Q0_SLICE@38,6
D11	1	0	51	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0000@51,1	V02S0701@51,1	Q0_SLICE@38,6
D12	1	0	58	A	PIOT0			INPUT_LVTTL33		NONE		ON	ON				0	0	0	1	0	0			
D13	1	0	62	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0000@62,1	F2@43,15	V02S0101@62,1
D14	2	2	72	D	PICR0		RDQ8	-									1	0	1	0	0	0	G_HPBX0000@71,4	F6@38,14	H02W0101@71,4
D16	2	8	72	A	PICR0_DQS2		RDQS8	OUTPUT_SSTL18_II							IREG_OREG	CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0000@71,8	H02W0501@71,8	
D3	7	2	0	D	PICL0		LDQ8	-									1	0	0	0	0	0	G_HPBX0000@1,4	H06E0303@0,4	
D4	0	0	9	B	PIOT0			-									1	0	0	0	0	0	G_HPBX0000@10,1	Q2_SLICE@11,17	
D5	0	0	13	B	PIOT0			-									1	0	1	0	0	0	G_HPBX0000@14,1	V02S0701@14,1	V02S0101@14,1
D6	0	0	20	B	PIOT0			-									1	0	1	0	0	0	G_HPBX0000@21,1	F6@26,9	Q0_SLICE@38,6
D7	0	0	24	B	PIOT0	GR_PCLK0_0		-									1	0	1	0	0	0	G_HPBX0000@25,1	V02S0501@25,1	Q0_SLICE@38,6
D8	1	0	33	B	PIOT0	PCLKC1_1		-									1	0	0	0	0	0	G_HPBX0000@34,1	JQ4@1,2	
D9	1	0	40	A	PIOT0			OUTPUT_LVTTL33	8	NONE	FAST		ON	OFF			1	0	0	0	0	0	G_HPBX0000@40,1	F1@38,3	
E1	7	11	0	D	PICL0		LDQ8	-									1	0	0	0	0	0	G_HPBX0000@1,13	H02E0501@1,13	
E10	1	0	47	B	PIOT0			-									1	0	1	0	0	0	G_HPBX0000@48,1	V06S0203@48,0	Q0_SLICE@38,6
E11	1	0	51	B	PIOT0			-									1	0	1	0	0	0	G_HPBX0000@52,1	V02S0701@52,1	Q0_SLICE@38,6
E12	1	0	58	B	PIOT0			-									0	0	0	0	0	0			
E13	1	0	62	B	PIOT0			-									0	0	0	0	0	0			
E14	2	5	72	C	PICR0		RDQ8	-									1	0	0	0	0	0	G_HPBX0000@71,7	Q3_SLICE@63,12	
