PIN	BANK	ROW	COL	PIO	TILE	FUNC	DQS	BASETYPE	DRIVE	PULL	SLEW	HYST	CLAMP	ODRAIN	IOLMODE	IOLCFG	OUT	ODDR1	TRI	IN	RX0	RX1	CLKROOT	OROOT	TROOT
D5	0	0	13	B	PIOT0			-									1	0	1	0	0	0	G_HPBX0200@14,1	F0@21,8	Q4_SLICE@27,4
D6	0	0	20	B	PIOT0			-									1	0	1	0	0	0	G_HPBX0200@21,1	JF0@1,22	Q4_SLICE@27,4
D7	0	0	24	B	PIOT0	GR_PCLK0_0		-									1	0	1	0	0	0	G_HPBX0200@25,1	JF0@1,22	Q4_SLICE@27,4
D8	1	0	33	B	PIOT0	PCLKC1_1		-									1	0	0	0	0	0	G_HPBX0200@34,1	F2@29,14	
D9	1	0	40	A	PIOT0			OUTPUT_LVTTL33	8	NONE	FAST		ON	OFF			1	0	0	0	0	0	G_HPBX0200@40,1	V02S0501@40,1	
E1	7	11	0	D	PICL0		LDQ8	-									1	0	0	0	0	0		F5D_SLICE@46,32	
E10	1	0	47	B	PIOT0			-									1	0	1	0	0	0	G_HPBX0200@48,1	F1@21,8	Q4_SLICE@27,4
E11	1	0	51	B	PIOT0			-									1	0	1	0	0	0	G_HPBX0200@52,1	F3@17,3	Q4_SLICE@27,4
E12	1	0	58	B	PIOT0			-									0	0	0	0	0	0			
E13	1	0	62	B	PIOT0			-									0	0	0	0	0	0			
E14	2	5	72	C	PICR0		RDQ8	-									1	0	0	0	0	0		H02W0701@71,7	
E15	2	8	72	B	PICR0_DQS2		RDQSN8	OUTPUT_SSTL18_II									1	0	0	0	0	0		F5@53,39	
E16	2	11	72	D	PICR0		RDQ8	-									1	0	0	0	0	0		H02W0701@71,13	
E2	7	8	0	B	PICL0_DQS2		LDQSN8	OUTPUT_SSTL18_II									1	0	0	0	0	0		H01E0001@1,8	
E3	7	5	0	C	PICL0		LDQ8	-									1	0	0	0	0	0		H02E0701@1,7	
E4	0	0	9	A	PIOT0			OUTPUT_SSTL15_II	4	NONE			ON				1	0	0	0	0	0		F1@47,29	
E5	0	0	13	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0200@13,1	V06S0003@13,0	Q4_SLICE@27,4
E6	0	0	20	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0200@20,1	V06S0203@20,0	Q4_SLICE@27,4
E7	0	0	24	A	PIOT0	GR_PCLK0_1		INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0200@24,1	F7@24,15	V06S0203@24,0
E8	1	0	33	A	PIOT0	PCLKT1_1		OUTPUT_LVTTL33	8	NONE	FAST		ON	OFF			1	0	0	0	0	0	G_HPBX0200@33,1	F2@24,15	
E9	1	0	40	B	PIOT0			-									1	0	0	0	0	0	G_HPBX0200@41,1	F6@21,8	
F1	7	14	0	A	PICL0		LDQ20	OUTPUT_SSTL18_II									1	0	0	0	0	0		F5@49,34	
F12	2	8	72	D	PICR0_DQS2		RDQ8	-									1	0	0	0	0	0		H06W0203@70,25	
F13	2	8	72	C	PICR0_DQS2		RDQ8	-									1	0	0	0	0	0		H02W0201@71,10	
F14	2	5	72	D	PICR0		RDQ8	-									1	0	0	0	0	0		H02W0301@71,7	
F15	2	11	72	C	PICR0		RDQ8	-									1	0	0	0	0	0		JF0@1,22	
F16	2	14	72	A	PICR0		RDQ20	OUTPUT_SSTL18_II									1	0	0	0	0	0		H02W0501@71,14	
F2	7	11	0	C	PICL0		LDQ8	-									1	0	0	0	0	0		H02E0701@1,13	
F3	7	5	0	D	PICL0		LDQ8	-									1	0	0	0	0	0		H02E0501@1,7	
F4	7	8	0	C	PICL0_DQS2		LDQ8	-									1	0	0	0	0	0		F5C_SLICE@47,31	
F5	7	8	0	D	PICL0_DQS2		LDQ8	-									1	0	0	0	0	0		F7@49,32	
G1	7	20	0	A	PICL0_DQS2	GR_PCLK7_1	LDQS20	OUTPUT_SSTL18_II									1	0	0	0	0	0		F3@49,31	
G12	2	11	72	A	PICR0		RDQ8	OUTPUT_SSTL18_II									1	0	0	0	0	0		H02W0701@71,11	
G13	2	11	72	B	PICR0		RDQ8	OUTPUT_SSTL18_II									1	0	0	0	0	0		H02W0501@71,11	
G14	2	14	72	C	PICR0	VREF1_2	RDQ20	-									1	0	0	0	0	0		F1@48,29	
G15	2	14	72	B	PICR0		RDQ20	OUTPUT_SSTL18_II									1	0	0	0	0	0		H02W0301@71,14	
G16	2	20	72	A	PICR0_DQS2	GR_PCLK2_1	RDQS20	OUTPUT_SSTL18_II									1	0	0	0	0	0		F3@49,34	
G2	7	14	0	B	PICL0		LDQ20	OUTPUT_SSTL18_II									1	0	0	0	0	0		H02E0501@1,14	
G3	7	14	0	C	PICL0	VREF1_7	LDQ20	-									1	0	0	0	0	0		F5B_SLICE@47,31	
G4	7	11	0	B	PICL0		LDQ8	OUTPUT_SSTL18_II									1	0	0	0	0	0		F5@49,29	
G5	7	11	0	A	PICL0		LDQ8	OUTPUT_SSTL18_II									1	0	0	0	0	0		H06E0303@0,11	
H12	2	17	72	A	PICR0		RDQ20	OUTPUT_SSTL18_II									1	0	0	0	0	0		F5A_SLICE@48,27	
H13	2	17	72	B	PICR0		RDQ20	OUTPUT_SSTL18_II									1	0	0	0	0	0		F5D_SLICE@53,35	
H14	2	14	72	D	PICR0		RDQ20	-									1	0	0	0	0	0		H06W0103@71,31	
H15	2	20	72	B	PICR0_DQS2		RDQSN20	OUTPUT_SSTL18_II									1	0	0	0	0	0		F3@52,33	
H2	7	20	0	B	PICL0_DQS2		LDQSN20	OUTPUT_SSTL18_II									1	0	0	0	0	0		F7@46,28	
H3	7	14	0	D	PICL0		LDQ20	-									1	0	0	0	0	0		F1@47,30	
H4	7	17	0	B	PICL0		LDQ20	OUTPUT_SSTL18_II									1	0	0	0	0	0		F4@52,39	
H5	7	17	0	A	PICL0		LDQ20	OUTPUT_SSTL18_II									1	0	0	0	0	0		H02E0501@1,17	
J1	7	23	0	A	PICL0	PCLKT7_1	LDQ20	-									0	0	0	0	0	0			
J12	2	17	72	D	PICR0		RDQ20	-									1	0	0	0	0	0		JF0@1,22	
J13	2	17	72	C	PICR0		RDQ20	-									1	0	0	0	0	0		H02W0301@71,19	
J14	2	20	72	C	PICR0_DQS2	GR_PCLK2_0	RDQ20	-									1	1	0	0	0	0	G_HPBX0200@71,22	Q0_SLICE@16,33	
J15	2	23	72	B	PICR0	PCLKC2_1	RDQ20	OUTPUT_SSTL18_II							IDDRX1_ODDRX1	CEIMUX=1;CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX;LSROMUX=LSRMUX	1	1	0	0	0	0	G_HPBX0200@71,23	Q0_SLICE@41,34	
J16	2	23	72	A	PICR0	PCLKT2_1	RDQ20	OUTPUT_SSTL18_II							IDDRX1_ODDRX1	CEIMUX=1;CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX;LSROMUX=LSRMUX	0	0	0	0	0	0	G_HPBX0100@71,23		
J2	7	23	0	B	PICL0	PCLKC7_1	LDQ20	-							IDDRX1_ODDRX1	CEIMUX=1;CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;DELAY.DEL_VALUE=0100111;GSR=DISABLED;LSRIMUX=LSRMUX;LSROMUX=LSRMUX	0	0	0	0	1	0	G_HPBX0100@1,23		
J3	7	20	0	C	PICL0_DQS2	GR_PCLK7_0	LDQ20	-									0	0	0	0	1	1	G_HPBX0100@1,22		
J4	7	17	0	C	PICL0		LDQ20	-									1	0	0	0	0	0		H02E0501@1,19	
J5	7	17	0	D	PICL0		LDQ20	-									1	0	0	0	0	0		H06E0203@0,19	
K1	7	23	0	C	PICL0	PCLKT7_0	LDQ20	-									0	0	0	0	1	1	G_HPBX0100@1,25		
K12	3	29	72	B	PICR0		RDQ32	OUTPUT_SSTL18_II									0	0	0	0	0	0			
K13	3	29	72	A	PICR0	GR_PCLK3_0	RDQ32	OUTPUT_SSTL18_II									1	0	0	0	0	0		F5B_SLICE@49,28	
K14	2	20	72	D	PICR0_DQS2		RDQ20	-									1	1	0	0	0	0	G_HPBX0200@71,22	Q6_SLICE@44,32	
K15	2	23	72	D	PICR0	PCLKC2_0	RDQ20	-									1	1	0	0	0	0	G_HPBX0200@71,25	Q2_SLICE@14,33	
K16	2	23	72	C	PICR0	PCLKT2_0	RDQ20	-									1	1	0	0	0	0	G_HPBX0200@71,25	H06W0003@72,25	
K2	7	23	0	D	PICL0	PCLKC7_0	LDQ20	-									0	0	0	0	1	1	G_HPBX0100@1,25		
K3	7	20	0	D	PICL0_DQS2		LDQ20	-									0	0	0	0	1	1	G_HPBX0100@1,22		
K4	6	29	0	A	PICL0	GR_PCLK6_0	LDQ32	OUTPUT_SSTL18_II									1	0	0	0	0	0		H02E0701@1,29	
K5	6	29	0	B	PICL0		LDQ32	OUTPUT_SSTL18_II									1	0	0	0	0	0		F5B_SLICE@44,31	
L1	6	26	0	A	PICL0	PCLKT6_1	LDQ32	OUTPUT_SSTL18_II							IDDRX1_ODDRX1	CEIMUX=1;CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX;LSROMUX=LSRMUX	0	0	0	0	0	0	G_HPBX0300@1,26		
L12	3	29	72	D	PICR0		RDQ32	-									1	0	0	0	0	0		F5@49,30	
L13	3	29	72	C	PICR0	GR_PCLK3_1	RDQ32	-									1	0	0	0	0	0		F5D_SLICE@51,36	
L14	3	32	72	C	PICR0_DQS2		RDQ32	-									1	0	0	0	0	0		F3@49,30	
L15	3	26	72	B	PICR0	PCLKC3_1	RDQ32	-							IDDRX1_ODDRX1	CEIMUX=1;CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;DELAY.DEL_VALUE=0100111;GSR=DISABLED;LSRIMUX=LSRMUX;LSROMUX=LSRMUX	0	0	0	0	1	1	G_HPBX0000@71,26		
L16	3	26	72	A	PICR0	PCLKT3_1	RDQ32	-							IDDRX1_ODDRX1	CEIMUX=1;CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;DELAY.DEL_VALUE=0100111;GSR=DISABLED;LSRIMUX=LSRMUX;LSROMUX=LSRMUX	0	0	0	0	1	1	G_HPBX0000@71,26		
L2	6	26	0	B	PICL0	PCLKC6_1	LDQ32	OUTPUT_SSTL18_II							IDDRX1_ODDRX1	CEIMUX=1;CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX;LSROMUX=LSRMUX	1	1	0	0	0	0	G_HPBX0400@1,26	Q0_SLICE@2,27	
L3	6	32	0	C	PICL0_DQS2		LDQ32	-									1	0	0	0	0	0		F5A_SLICE@44,31	
L4	6	29	0	C	PICL0	GR_PCLK6_1	LDQ32	-									1	0	0	0	0	0		F5D_SLICE@48,29	
L5	6	29	0	D	PICL0		LDQ32	-									1	0	0	0	0	0		F5B_SLICE@46,30	
M1	6	26	0	C	PICL0	PCLKT6_0	LDQ32	-									1	1	0	0	0	0	G_HPBX0400@1,28	Q6_SLICE@2,27	
M11	3	47	72	A	PICR0		RDQ44	OUTPUT_SSTL18_II									1	0	0	0	0	0		F5C_SLICE@51,40	
M12	3	44	72	C	PICR0_DQS2		RDQ44	-									1	0	0	0	0	0		F1@51,36	
M13	3	35	72	C	PICR0		RDQ32	-									0	0	0	0	0	0			
M14	3	32	72	D	PICR0_DQS2		RDQ32	-									1	0	0	0	0	0		H02W0501@71,34	
M15	3	26	72	D	PICR0	PCLKC3_0	RDQ32	-									0	0	0	0	1	1	G_HPBX0000@71,28		
M16	3	26	72	C	PICR0	PCLKT3_0	RDQ32	-									0	0	0	0	0	0			
M2	6	26	0	D	PICL0	PCLKC6_0	LDQ32	-									1	1	0	0	0	0	G_HPBX0400@1,28	Q6_SLICE@10,24	
M3	6	32	0	D	PICL0_DQS2		LDQ32	-									1	0	0	0	0	0	G_HPBX0400@1,34	H02E0501@1,34	
M4	6	35	0	C	PICL0		LDQ32	-									1	0	0	0	0	0	G_HPBX0400@1,37	Q3_SLICE@45,32	
M5	6	44	0	C	PICL0_DQS2		LDQ44	-									1	0	0	0	0	0		F7@48,39	
M6	6	47	0	A	PICL0		LDQ44	OUTPUT_SSTL18_II									0	0	0	0	0	0			
M7	8	50	9	B	PICB0	D2/IO2		-									1	0	0	0	0	0		V02N0701@10,49	
M8	8	50	15	B	PICB0	DOUT/CSON		-									1	0	0	0	0	0		F5B_SLICE@44,34	
M9	8	50	18	A	SPICB0	WRITEN		OUTPUT_LVCMOS25	4	NONE			ON				1	0	0	0	0	0		F3@50,40	
N1	6	32	0	A	PICL0_DQS2		LDQS32	OUTPUT_SSTL18_II							IREG_OREG	CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0400@1,32	F2@45,32	
N11	3	47	72	B	PICR0		RDQ44	OUTPUT_SSTL18_II									1	0	0	0	0	0		F5@52,40	
N12	3	44	72	D	PICR0_DQS2		RDQ44	-									1	0	0	0	0	0		JF0@1,22	
N13	3	38	72	A	PICR0		RDQ44	OUTPUT_SSTL18_II									1	0	0	0	0	0		F5C_SLICE@52,35	
N14	3	35	72	D	PICR0		RDQ32	-									1	0	0	0	0	0		F1@52,35	
N16	3	32	72	A	PICR0_DQS2		RDQS32	-									0	0	0	0	0	0			
N3	6	35	0	D	PICL0		LDQ32	-									1	0	0	0	0	0	G_HPBX0400@1,37	Q7_SLICE@57,41	
N4	6	38	0	A	PICL0		LDQ44	OUTPUT_SSTL18_II							IREG_OREG	CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0400@1,38	Q5_SLICE@57,41	
N5	6	44	0	D	PICL0_DQS2		LDQ44	-									1	0	0	0	0	0	G_HPBX0400@1,46	H02E0701@1,46	
N6	6	47	0	B	PICL0		LDQ44	OUTPUT_SSTL18_II									1	0	0	0	0	0		F7@48,32	
N7	8	50	9	A	PICB0	D3/IO3		OUTPUT_LVCMOS25	4	NONE			ON				1	0	0	0	0	0		V06N0303@33,48	
N8	8	50	15	A	PICB0	HOLDN/DI/BUSY/CSSPIN/CEN		OUTPUT_LVTTL33	8	NONE			ON	OFF		CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;LSRIMUX=LSRMUX;OUTREG.REGSET=SET	1	0	0	0	0	0	G_HPBX0400@15,49	F4@57,48	
P1	6	35	0	A	PICL0		LDQ32	OUTPUT_SSTL18_II							IDDRX1_ODDRX1	CEIMUX=1;CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX;LSROMUX=LSRMUX	1	1	0	0	0	0	G_HPBX0400@1,35	Q6_SLICE@2,40	
P11	3	47	72	C	PICR0	LRC_GPLL0T_IN	RDQ44	-									1	0	0	0	0	0		F5B_SLICE@51,39	
P12	3	47	72	D	PICR0	LRC_GPLL0C_IN	RDQ44	-									1	0	0	0	0	0		JF0@1,22	
P13	3	41	72	A	PICR0		RDQ44	OUTPUT_SSTL18_II									1	0	0	0	0	0		F1@44,30	
P14	3	38	72	B	PICR0		RDQ44	OUTPUT_SSTL18_II									1	0	0	0	0	0		F5@51,39	
P15	3	32	72	B	PICR0_DQS2		RDQSN32	OUTPUT_SSTL18_II									1	0	0	0	0	0		F5@52,33	
P16	3	35	72	A	PICR0		RDQ32	-							IDDRX1_ODDRX1	CEIMUX=1;CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;DELAY.DEL_VALUE=0100111;GSR=DISABLED;LSRIMUX=LSRMUX;LSROMUX=LSRMUX	0	0	0	0	1	0	G_HPBX0000@71,35		
P2	6	32	0	B	PICL0_DQS2		LDQSN32	OUTPUT_SSTL18_II									1	0	0	0	0	0		F7@47,33	
P3	6	38	0	B	PICL0		LDQ44	OUTPUT_SSTL18_II							IREG_OREG	CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0400@1,38	H02E0701@1,38	
P4	6	41	0	A	PICL0		LDQ44	OUTPUT_SSTL18_II							IREG_OREG	CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0400@1,41	Q4_SLICE@57,41	
P5	6	47	0	D	PICL0	LLC_GPLL0C_IN	LDQ44	-									1	0	0	0	0	0		H06E0203@0,49	
P6	6	47	0	C	PICL0	LLC_GPLL0T_IN	LDQ44	-									0	0	0	0	0	0			
P7	8	50	6	B	EFB2_PICB0	D4/MOSI2/IO4		-									1	0	0	0	0	0		V02N0701@7,49	
P8	8	50	13	B	PICB0	CS1N		-									1	0	0	0	0	0		V02N0501@14,49	
R1	6	35	0	B	PICL0	VREF1_6	LDQ32	OUTPUT_SSTL18_II							IDDRX1_ODDRX1	CEIMUX=1;CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX;LSROMUX=LSRMUX	1	1	0	0	0	0	G_HPBX0400@1,35	H02E0501@1,35	
R12	3	44	72	A	PICR0_DQS2		RDQS44	OUTPUT_SSTL18_II									1	0	0	0	0	0		F3@54,39	
R13	3	41	72	C	PICR0		RDQ44	-									1	0	0	0	0	0		H06W0303@72,43	
R14	3	41	72	B	PICR0		RDQ44	OUTPUT_SSTL18_II									1	0	0	0	0	0		F1@53,38	
R15	3	38	72	C	PICR0		RDQ44	-									1	0	0	0	0	0		H02W0501@71,40	
R16	3	35	72	B	PICR0	VREF1_3	RDQ32	-							IDDRX1_ODDRX1	CEIMUX=1;CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;DELAY.DEL_VALUE=0100111;GSR=DISABLED;LSRIMUX=LSRMUX;LSROMUX=LSRMUX	0	0	0	0	1	1	G_HPBX0000@71,35		
R2	6	38	0	C	PICL0		LDQ44	-									1	0	0	0	0	0		F5B_SLICE@51,36	
R3	6	41	0	B	PICL0		LDQ44	OUTPUT_SSTL18_II									1	0	0	0	0	0		F3@48,36	
R4	6	41	0	C	PICL0		LDQ44	-									1	0	0	0	0	0		F5A_SLICE@44,34	
R5	6	44	0	A	PICL0_DQS2		LDQS44	OUTPUT_SSTL18_II							IREG_OREG	CEMUX=CE;CLKIMUX=CLK;CLKOMUX=CLK;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0400@1,44	F5@2,22	
R6	8	50	4	B	EFB0_PICB0	D6/IO6		-									1	0	0	0	0	0	G_HPBX0500@5,49	V02N0701@5,49	
R7	8	50	6	A	EFB2_PICB0	D5/MISO2/IO5		INPUT_LVTTL33		UP		ON	ON			CEIMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSROMUX=LSRMUX	0	0	0	0	0	0	G_HPBX0400@6,49		
R8	8	50	13	A	PICB0	SN/CSN		OUTPUT_LVCMOS25	4	NONE			ON				1	0	0	0	0	0		V06N0103@49,48	
T13	3	44	72	B	PICR0_DQS2		RDQSN44	OUTPUT_SSTL18_II									1	0	0	0	0	0		F1@51,35	
T14	3	41	72	D	PICR0		RDQ44	-									1	0	0	0	0	0		H06W0103@72,43	
T15	3	38	72	D	PICR0		RDQ44	-									1	0	0	0	0	0		F5@50,35	
T2	6	38	0	D	PICL0		LDQ44	-									1	0	0	0	0	0		H02E0501@1,40	
T3	6	41	0	D	PICL0		LDQ44	-									1	0	0	0	0	0		H02E0701@1,43	
T4	6	44	0	B	PICL0_DQS2		LDQSN44	OUTPUT_SSTL18_II							IREG_OREG	CEMUX=CE;CLKIMUX=CLK;CLKOMUX=CLK;LSRIMUX=LSRMUX;MTDDRX.REGSET=SET;OUTREG.REGSET=SET;TSREG.REGSET=SET	1	0	1	1	0	0	G_HPBX0400@1,44	H06E0203@1,23	F4@2,26
T6	8	50	4	A	EFB0_PICB0	D7/IO7		BIDIR_LVCMOS25	4	UP		ON	ON			CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX	1	0	1	1	0	0	G_HPBX0400@4,49	JF0@1,22	F2@7,45
T7	8	50	11	A	PICB0	D1/MISO/IO1		INPUT_LVTTL33				ON	ON			CEMUX=CE;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSROMUX=LSRMUX	0	0	0	1	0	0	G_HPBX0400@11,49		
T8	8	50	11	B	PICB0	D0/MOSI/IO0		-									1	0	0	0	0	0	G_HPBX0400@12,49	JF0@1,22	
